"","log2fc_val",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"12-oxochenodeoxycholic acid",1.64398334822888,"mvalue","Survivor","Non-Survivor",102,45,2777.5,0.0428,0.145748,"ns"
"12-oxolithocholic acid",1.73812599104866,"mvalue","Survivor","Non-Survivor",102,45,2921.5,0.00851,0.0596216666666667,"ns"
"2-methylbutyrate",-0.102120413891218,"mvalue","Survivor","Non-Survivor",102,45,2698.5,0.0903,0.220438235294118,"ns"
"3-aminoisobutyrate",-0.0210749839623039,"mvalue","Survivor","Non-Survivor",102,45,2486.5,0.422,0.593661016949153,"ns"
"3-deoxycholic acid",1.15927856181137,"mvalue","Survivor","Non-Survivor",102,45,2393,0.682,0.775424657534247,"ns"
"3-oxocholic acid",0.924567680091021,"mvalue","Survivor","Non-Survivor",102,45,2592.5,0.212,0.35358,"ns"
"3-oxodeoxycholic acid or 3-oxochenodeoxycholic acid",1.37523787117611,"mvalue","Survivor","Non-Survivor",102,45,2958.5,0.00533,0.0596216666666667,"ns"
"3-oxolithocholic acid",0.542533007750822,"mvalue","Survivor","Non-Survivor",102,45,2826,0.0258,0.0973363636363636,"ns"
"5-aminovalerate",0.208419856003087,"mvalue","Survivor","Non-Survivor",102,45,2306.5,0.963,0.973,"ns"
"5-hydroxyindoleacetate",1.44645201395118,"mvalue","Survivor","Non-Survivor",102,45,2284.5,0.966,0.973,"ns"
"7-oxodeoxycholic acid",1.53510211127613,"mvalue","Survivor","Non-Survivor",102,45,2836.5,0.023,0.0973363636363636,"ns"
"7-oxolithocholic acid or 6-oxolithocholic acid",0.446837062286075,"mvalue","Survivor","Non-Survivor",102,45,3030,0.00202,0.0596216666666667,"ns"
"acetate",-0.13747532552654,"mvalue","Survivor","Non-Survivor",102,45,2566,0.256,0.416627450980392,"ns"
"alanine",-0.236138694439313,"mvalue","Survivor","Non-Survivor",102,45,2228,0.78,0.851842105263158,"ns"
"allocholic acid",0.0947836823774189,"mvalue","Survivor","Non-Survivor",102,45,2623,0.169,0.316106382978723,"ns"
"alloisolithocholic acid",-0.518106153744818,"mvalue","Survivor","Non-Survivor",102,45,2630.5,0.159,0.316106382978723,"ns"
"allolithocholic acid",3.96560777218951,"mvalue","Survivor","Non-Survivor",102,45,2828,0.0252,0.0973363636363636,"ns"
"alpha-muricholic acid",0.345392655878289,"mvalue","Survivor","Non-Survivor",102,45,2888,0.0128,0.0708266666666667,"ns"
"anthranilic acid",-1.04373890346752,"mvalue","Survivor","Non-Survivor",102,45,2181,0.633,0.729708333333333,"ns"
"aspartic acid",-0.114694813119696,"mvalue","Survivor","Non-Survivor",102,45,2139.5,0.515,0.657615384615385,"ns"
"benzoic acid",-0.168536115002546,"mvalue","Survivor","Non-Survivor",102,45,2521.5,0.342,0.506892857142857,"ns"
"beta-muricholic acid",0.783602700574643,"mvalue","Survivor","Non-Survivor",102,45,3061.5,0.00128,0.0596216666666667,"ns"
"biotin",1.19400515478642,"mvalue","Survivor","Non-Survivor",102,45,2616,0.178,0.316106382978723,"ns"
"butyrate",-0.414255053719599,"mvalue","Survivor","Non-Survivor",102,45,2619,0.174,0.316106382978723,"ns"
"chenodeoxycholic acid",1.58691165867959,"mvalue","Survivor","Non-Survivor",102,45,2867,0.0163,0.08455625,"ns"
"cholic acid",1.29504195148959,"mvalue","Survivor","Non-Survivor",102,45,2592,0.213,0.35358,"ns"
"cysteine",-0.199997756903394,"mvalue","Survivor","Non-Survivor",102,45,2113,0.446,0.606852459016393,"ns"
"deoxycholic acid",1.35933014607133,"mvalue","Survivor","Non-Survivor",102,45,2900,0.0111,0.0708266666666667,"ns"
"desaminotyrosine",-0.497020046555419,"mvalue","Survivor","Non-Survivor",102,45,2303.5,0.973,0.973,"ns"
"dopamine",-0.136431896979081,"mvalue","Survivor","Non-Survivor",102,45,1970,0.173,0.316106382978723,"ns"
"gamma-muricholic acid",0.140638510466738,"mvalue","Survivor","Non-Survivor",102,45,2796,0.0354,0.127747826086957,"ns"
"glutamic acid",-0.37477613263123,"mvalue","Survivor","Non-Survivor",102,45,2246,0.838,0.903298701298701,"ns"
"glycine",-0.55908986058678,"mvalue","Survivor","Non-Survivor",102,45,2060,0.324,0.488945454545455,"ns"
"glycochenodeoxycholic acid",2.18893648977288,"mvalue","Survivor","Non-Survivor",102,45,2775,0.0439,0.145748,"ns"
"glycocholic acid",3.81208070566039,"mvalue","Survivor","Non-Survivor",102,45,2680,0.106,0.237783783783784,"ns"
"glycodehydrocholic acid",0.372419682222285,"mvalue","Survivor","Non-Survivor",102,45,2701,0.0883,0.220438235294118,"ns"
"glycodeoxycholic acid",1.79926869451776,"mvalue","Survivor","Non-Survivor",102,45,2989.5,0.00354,0.0596216666666667,"ns"
"glycohyodeoxycholic acid",0.993838949668604,"mvalue","Survivor","Non-Survivor",102,45,2622.5,0.169,0.316106382978723,"ns"
"glycolithocholic acid",1.4026998166255,"mvalue","Survivor","Non-Survivor",102,45,2984,0.00381,0.0596216666666667,"ns"
"glycoursodeoxycholic acid",4.81573636068925,"mvalue","Survivor","Non-Survivor",102,45,2971.5,0.00449,0.0596216666666667,"ns"
"hexanoate",0.1256924505563,"mvalue","Survivor","Non-Survivor",102,45,2551,0.283,0.451018867924528,"ns"
"hyodeoxycholic acid",0.0309787946940105,"mvalue","Survivor","Non-Survivor",102,45,2833,0.0239,0.0973363636363636,"ns"
"indole",0.255221935186819,"mvalue","Survivor","Non-Survivor",102,45,2438.5,0.548,0.668882352941177,"ns"
"indole-3-carboxaldehyde",0.250330917056129,"mvalue","Survivor","Non-Survivor",102,45,2332.5,0.876,0.922455696202532,"ns"
"indole-3-lactate",-0.0830499601549955,"mvalue","Survivor","Non-Survivor",102,45,2041.5,0.288,0.451018867924528,"ns"
"isobutyrate",-0.16575508472874,"mvalue","Survivor","Non-Survivor",102,45,2718,0.0758,0.19660625,"ns"
"isodeoxycholic acid",1.16540824835943,"mvalue","Survivor","Non-Survivor",102,45,2921,0.00856,0.0596216666666667,"ns"
"isoleucine",-0.192802922534372,"mvalue","Survivor","Non-Survivor",102,45,2315,0.935,0.9700625,"ns"
"isolithocholic acid",0.763534696168685,"mvalue","Survivor","Non-Survivor",102,45,2826.5,0.0256,0.0973363636363636,"ns"
"isovalerate",-0.208478490227577,"mvalue","Survivor","Non-Survivor",102,45,2664.5,0.121,0.264289473684211,"ns"
"kynurenic acid",0.198550381371822,"mvalue","Survivor","Non-Survivor",102,45,2618,0.175,0.316106382978723,"ns"
"kynurenine",-1.06686023373057,"mvalue","Survivor","Non-Survivor",102,45,1833.5,0.0527,0.162003703703704,"ns"
"leucine",-0.35990338611571,"mvalue","Survivor","Non-Survivor",102,45,2212,0.729,0.80676,"ns"
"lithocholic acid",1.4050038959651,"mvalue","Survivor","Non-Survivor",102,45,2951,0.00587,0.0596216666666667,"ns"
"lysine",-0.201316917603349,"mvalue","Survivor","Non-Survivor",102,45,2144,0.527,0.657805970149254,"ns"
"methionine",-0.264106081787821,"mvalue","Survivor","Non-Survivor",102,45,2179,0.627,0.729708333333333,"ns"
"niacin",0.488494862934075,"mvalue","Survivor","Non-Survivor",102,45,2694,0.094,0.222914285714286,"ns"
"omega-muricholic acid",0.543049329313227,"mvalue","Survivor","Non-Survivor",102,45,2840,0.0221,0.0973363636363636,"ns"
"p-cresol",-0.278227658416948,"mvalue","Survivor","Non-Survivor",102,45,2741.5,0.0608,0.179922580645161,"ns"
"palmitic acid",-0.908678290729702,"mvalue","Survivor","Non-Survivor",102,45,1989,0.199,0.344104166666667,"ns"
"pantothenic acid",0.730726595973485,"mvalue","Survivor","Non-Survivor",102,45,2653,0.133,0.283051282051282,"ns"
"phenol",0.896749959338103,"mvalue","Survivor","Non-Survivor",102,45,2332,0.878,0.922455696202532,"ns"
"phenylalanine",-0.273276881546338,"mvalue","Survivor","Non-Survivor",102,45,2205,0.707,0.792986486486487,"ns"
"proline",-0.0456901031879159,"mvalue","Survivor","Non-Survivor",102,45,2426,0.583,0.691271428571429,"ns"
"propionate",-0.0586961837340998,"mvalue","Survivor","Non-Survivor",102,45,2757,0.0524,0.162003703703704,"ns"
"serotonin",0.416957313325223,"mvalue","Survivor","Non-Survivor",102,45,2681,0.105,0.237783783783784,"ns"
"succinate",0.535985463419974,"mvalue","Survivor","Non-Survivor",102,45,2049.5,0.303,0.465722222222222,"ns"
"tauro-alpha-muricholic acid or tauro-beta-muricholic acid",0.526103462829544,"mvalue","Survivor","Non-Survivor",102,45,2452.5,0.509,0.657615384615385,"ns"
"taurochenodeoxycholic acid",0.928770818715376,"mvalue","Survivor","Non-Survivor",102,45,2497.5,0.396,0.576631578947368,"ns"
"taurocholic acid",1.83945490305127,"mvalue","Survivor","Non-Survivor",102,45,2482,0.433,0.598983333333333,"ns"
"taurodeoxycholic acid",-0.194324236674413,"mvalue","Survivor","Non-Survivor",102,45,2731,0.0672,0.179922580645161,"ns"
"taurohyodeoxycholic acid",0.474140565901879,"mvalue","Survivor","Non-Survivor",102,45,2428.5,0.576,0.691271428571429,"ns"
"taurolithocholic acid",-1.52712836170674,"mvalue","Survivor","Non-Survivor",102,45,2920.5,0.00862,0.0596216666666667,"ns"
"tauroursodeoxycholic acid",2.89317147247467,"mvalue","Survivor","Non-Survivor",102,45,2456,0.5,0.657615384615385,"ns"
"tryptamine",-0.897858143723451,"mvalue","Survivor","Non-Survivor",102,45,1975,0.179,0.316106382978723,"ns"
"tryptophan",-1.17000254538929,"mvalue","Survivor","Non-Survivor",102,45,1656,0.00728,0.0596216666666667,"ns"
"tryptophol",-0.372224202828807,"mvalue","Survivor","Non-Survivor",102,45,2145.5,0.531,0.657805970149254,"ns"
"tyramine",0.0490917711571454,"mvalue","Survivor","Non-Survivor",102,45,2101,0.416,0.593661016949153,"ns"
"tyrosine",-0.662919566917727,"mvalue","Survivor","Non-Survivor",102,45,1642.5,0.00612,0.0596216666666667,"ns"
"ursodeoxycholic acid",-0.786916148570302,"mvalue","Survivor","Non-Survivor",102,45,2887.5,0.0128,0.0708266666666667,"ns"
"valerate",0.189237561224909,"mvalue","Survivor","Non-Survivor",102,45,2735,0.0647,0.179922580645161,"ns"
"valine",-0.475152004199377,"mvalue","Survivor","Non-Survivor",102,45,2128,0.484,0.647935483870968,"ns"
